id,name
1,3D моделирование
2,Apple
3,K-pop
4,Linux
5,SEO
6,YouTube
7,Авиапутешествия
8,Авиация
9,Автогонки
10,Автоматизация
11,Автомобили
12,Автомобильные поездки
13,Автомоделизм
14,Автоспорт
15,Автотранспортные средства
16,Азартные игры
17,Аквабайк
18,Аквапоника
19,Аквариумистика
20,Акробатика
21,Актерство
22,Акушерство
23,Акции
24,Алгебра
25,Алкогольные напитки
26,Альпинизм
27,Альтернативная медицина
28,Альтернативная энергетика
29,Альтернативный метал
30,Альтернативный рок
31,Альтернативный хип-хоп
32,Америка
33,Американский футбол
34,Анализ данных
35,Анатомия
36,Английская литература
37,Английский язык
38,Англия
39,Анимационный дизайн
40,Анимация
41,Аниме
42,Антиутопия
43,Античная философия
44,Античность
45,Антропология
46,Аппликация
47,Арабская кухня
48,Арабская литература
49,Армия
50,Ароматерапия
51,Арт-рок
52,Арт-терапия
53,Артхаус
54,Археология
55,Архитектура
56,Астрология
57,Астрономия 
58,Астрофизика
59,Атеизм
60,Атомная энергетика
61,Аудиотехника
62,Аудит
63,Африка
64,Аэрография
65,Аэродизайн
66,Бадминтон
67,Базы данных
68,Балет
69,Банковские услуги
70,Баня
71,Барби
72,Бары
73,Баскетбол
74,Бассейн
75,Бег
76,Бейсбол
77,Бейсджампинг
78,Бижутерия
79,Бизнес
80,Бильярд
81,Биоинженерия
82,Биология
83,Биомеханика
84,Биотехнология
85,Биофизика
86,Биохимия
87,Биоэнергетика
88,Бисероплетение
89,Битбокс
90,Бихевиоризм
91,Благотворительность
92,Ближневосточная кухня
93,Блокчейн
94,Блюз
95,Блюз-рок
96,Боди-арт
97,Бодибилдинг
98,Бодифитнес
99,Боевики
100,Боевые искусства
101,Бокс
102,Бонистика
103,Боулинг
104,Брейкданс
105,Брит-поп
106,Бутики
107,Бухгалтерия
108,Бытовая электроника
109,Веб-дизайн
110,Веб-разработка
111,Веганство
112,Вегетарианство
113,Ведение блога
114,Ведение дневника
115,Велосипед
116,Велоспорт
117,Верховая езда
118,Ветераны
119,Вечеринки
120,Видеоигры
121,Видеоклипы
122,Вино
123,Виноделие
124,Виртуальная реальность
125,Воздухоплавание
126,Воздушные шары
127,Волейбол
128,Волонтерство
129,Воркаут
130,Воспитание детей
131,Восточные танцы
132,Вселенная
133,Выживание
134,Выжигание
135,Выпечка
